Source;Target;Weight
Aq0;Aq1;0.7600957224050254
Aq0;Dq0;0.0002991325157044571
Aq0;Eq0;0.0008973975471133712
Aq0;Fq0;0.23870774753215673
Aq1;Aq2;0.667060212514758
Aq1;Eq0;0.0023612750885478157
Aq1;Fq0;0.3293978748524203
Aq1;Iq0;0.0011806375442739079
Aq2;Aq3;0.5032448377581121
Aq2;Dq0;0.0005899705014749262
Aq2;Eq0;0.005309734513274336
Aq2;Fq0;0.4135693215339233
Aq2;Iq0;0.05368731563421829
Aq2;Nq0;0.02359882005899705
Aq3;Dq0;0.0011737089201877935
Aq3;Eq0;0.01643192488262911
Aq3;Fq0;0.6267605633802817
Aq3;Iq0;0.29225352112676056
Aq3;Nq0;0.06338028169014084
Dq0;Dq1;0.805
Dq0;Eq0;0.176
Dq0;Fq0;0.017
Dq0;Iq0;0.002
Dq1;Dq2;0.7510489510489511
Dq1;Eq0;0.23636363636363636
Dq1;Fq0;0.012587412587412588
Dq2;Dq3;0.9438596491228071
Dq2;Eq0;0.056140350877192984
Dq3;Eq0;0.25
Dq3;Fq0;0.75
Eq0;Dq0;0.10457516339869281
Eq0;Eq1;0.8471833177715531
Eq0;Fq0;0.033302209772798005
Eq0;Iq0;0.009337068160597572
Eq0;Nq0;0.0056022408963585435
Eq1;Dq0;0.1371559633027523
Eq1;Eq0;0.00045871559633027525
Eq1;Eq2;0.8325688073394495
Eq1;Fq0;0.013761467889908258
Eq1;Iq0;0.011926605504587157
Eq1;Nq0;0.004128440366972477
Eq2;Dq0;0.06525911708253358
Eq2;Eq3;0.8714011516314779
Eq2;Fq0;0.02015355086372361
Eq2;Iq0;0.03838771593090211
Eq2;Nq0;0.0047984644913627635
Eq3;Dq0;0.18115942028985507
Eq3;Fq0;0.26811594202898553
Eq3;Iq0;0.463768115942029
Eq3;Nq0;0.08695652173913043
Fq0;Dq0;0.0013082583810302534
Fq0;Eq0;0.07309893704006541
Fq0;Fq0;0.00016353229762878168
Fq0;Fq1;0.753556827473426
Fq0;Iq0;0.11300081766148815
Fq0;Nq0;0.058871627146361405
Fq1;Dq0;0.0023928649118990647
Fq1;Eq0;0.06808788340221884
Fq1;Fq0;0.00021753317380900588
Fq1;Fq2;0.6691320426365021
Fq1;Iq0;0.16510767892103545
Fq1;Nq0;0.09506199695453557
Fq2;Dq0;0.00957095709570957
Fq2;Eq0;0.3722772277227723
Fq2;Fq3;0.5075907590759076
Fq2;Iq0;0.07656765676567656
Fq2;Nq0;0.03399339933993399
Fq3;Dq0;0.1772046589018303
Fq3;Eq0;0.7745424292845258
Fq3;Iq0;0.03826955074875208
Fq3;Nq0;0.009983361064891847
Iq0;Dq0;0.0010818608005769925
Iq0;Eq0;0.00288496213487198
Iq0;Fq0;0.23404255319148937
Iq0;Iq0;0.000721240533717995
Iq0;Iq1;0.7547782185358817
Iq0;Nq0;0.006491164803461955
Iq1;Dq0;0.00048007681228996637
Iq1;Eq0;0.01200192030724916
Iq1;Fq0;0.31253000480076815
Iq1;Iq0;0.00048007681228996637
Iq1;Iq2;0.670667306769083
Iq1;Nq0;0.003840614498319731
Iq2;Dq0;0.0028735632183908046
Iq2;Eq0;0.04741379310344827
Iq2;Fq0;0.4418103448275862
Iq2;Iq0;0.0028735632183908046
Iq2;Iq3;0.5021551724137931
Iq2;Nq0;0.0028735632183908046
Iq3;Dq0;0.0030721966205837174
Iq3;Eq0;0.12903225806451613
Iq3;Fq0;0.8648233486943164
Iq3;Iq0;0.0015360983102918587
Iq3;Nq0;0.0015360983102918587
Nq0;Nq1;1.0
Nq1;Eq0;0.0009242144177449168
Nq1;Fq0;0.0009242144177449168
Nq1;Iq0;0.3900184842883549
Nq1;Nq2;0.6081330868761553
Nq2;Eq0;0.004559270516717325
Nq2;Fq0;0.15501519756838905
Nq2;Iq0;0.11398176291793313
Nq2;Nq3;0.7264437689969605
Nq3;Dq0;0.004301075268817204
Nq3;Eq0;0.11612903225806452
Nq3;Fq0;0.8064516129032258
Nq3;Iq0;0.07311827956989247
